rating,timestamp,title,text,userId,itemId
5.0,1645402494796,Every home should have these,"I have never been big on vitamins, with the exception of the occasional multi-vitamin. However, during the pandemic, I started on a daily regimen of taking Vitamin C, Vitamin D3 and Zinc every morning and an additional Vitamin C at night. This is a large bottle of three hundred tablets (enough to last me for three months). I typically take all my vitamins on an empty stomach and I have had no ill side effects from doing so. Everyone should be taking these daily to strengthen your immune system (even if you are vaccinated). Highly recommend!",5,5
4.0,1644266326005,Versatile shaver,"To be honest, my husband did not use this for a balding head. He wanted to try it for his face and for nose/ear hairs. This is his review. This was a nice man's shaver. It has several attachments which are easy to change out and install. The shave I got was super close and it was easy to maneuver it over the contours of my face. I have to admit it is one of the best shaves I have had in the past few years and for the money it is a good deal. The nose trimmer worked well with no pain or irritation. Highly recommend.",5,6
4.0,1617907534645,Makes a nice compact noise machine to take with you when traveling,"This is a nice basic sound machine. I have used sound machines for years now to aid in getting a quality night's sleep. I have been using Alexa for the past year or so for my sound machine, so I was actually looking for a machine I could take with me when I travel. This is really nice, super compact and can go everywhere. My deduction of a star is only because of the loop, I can her it when the system reaches it's 90 second interval. However, once I am asleep it is barely noticeable and has not disturbed my travel sleep. I will keep this is my overnight bag and will continue to use it when away from home.",5,7
5.0,1608066939529,Great drawstring holiday bags!,"This are super colorful great gift giving holiday bags and tags. I always give smaller gifts to neighbors (sometimes home made baked goods, sometimes a bottle of wine). These bags are perfect for this. The drawstring is made of ribbon and seals the bag well. These would also be great for packaging teacher's gifts or for family gifting. Highly recommend. Nice variety, nice colors!",5,8
5.0,1601757145389,Great hair dryer gets the job done quickly!,"This Jinri hair dryer is among one of the best I have ever owned. Strong and powerful, my hair dries super quick. It has varying speeds and heat levels which allows me to dry and style my hair at the same time. It also fits well in my hand, is relatively light weight, and I can maneuver from the front to back of my head easily. I love this red color as well and it matches my decor perfectly. Highly recommend if you are in the market for a new, quality hair dryer at a reasonable price.",5,10
4.0,1568976096968,Beware of the sizing on these,"For positives, these are really nice, soft leggings. Super stretchy, high waisted and a deep rich black color. For negatives, they are too small for me. I am 5'7"" and weigh about 150 lbs and they do not fit comfortably (definitely too tight). I will be washing them and giving them to my daughter in law who is much thinner. I really liked these, just too bad they aren't a tad more stretchier.",5,11
5.0,1559421381258,Great reasonably priced shower filter!,"I live in Florida where hard water is definitely an issue. I just purchased my house last September, and recently retired, and I am trying to be careful on spending money. Many of my neighbors have been installing whole house water systems and although I do think at sometime in the future I will look into it, this filter has helped me at least in the shower. I can tell the water is better since I installed it (yes, installation was super easy for me) and my hair feels so much softer and I see less spots on the shower glass doors. For the money, this is a great shower filter and I highly recommend it.",5,12
4.0,1549019442625,Great vitamin supplement to add to your smoothie routine!,"Great way to supplement your daily smoothie/fruit/veggie shake with vitamins. Given that this is certified organic, Vegan & Non-GMO, it is a great all natural way to give your body an extra boost of Vitamin C. I am deleting a star simply because when I first tried to mix this in just juice, I saw that the powder does not mix well (my juice was cloudy). However, I started instead to mix it with my smoothies and it worked perfectly. No taste, blends well when the mixture is thicker.",5,13
5.0,1515869747736,Great daily vitamin for the older woman's body!,"This is my new favorite daily vitamin. Totally Vegan, easy to swallow and fills all the daily requirements of my 60+aged body. I have a tendency to skip breakfast most days a week and this vitamin agrees with an empty stomach (no aftertaste, burping, or unpleasant stomach rumblings). This is a lot cheaper than my usual Centrum formula so Amazon has once again turned me away from name brands and over to their store brand names. I highly recommend for any woman over age 40 who cares about their health!",5,14
5.0,1496869465412,"Great probiotic and great taste, too!","I have a mild form of IBS and have been taking probiotics (in pill form) for years now. I thought I would try something different by using a chewable variety and I was thrilled when I saw this. I was a little skeptical with the title of 'Dark Chocolate' and it brought back memories as a kid of chocolate Ex-lax flavoring. Boy, was I pleasantly surprised! The flavor of this chewable probiotic is absolutely amazing. It actually makes me look forward to taking my daily probiotic to help keep my IBS in check. Since taking this, I do feel better and my bloating issues have definitely decrease. As we all know probiotics are good bacteria and everyone (even without IBS issues) should be taking probiotics daily just to help your digestive system perform optimally. If you are looking for a type of probiotic that you can actually like taking, and you love chocolate, this Digestive Advantage Dark Chocolate will definitey fill the bill!",5,15
