itemId,aug_concat_only,aug_harmonize,aug_marketing
24,"Title: Toy Story (1995)
Features: Animation|Children's|Comedy

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Toy Story (1995) is an animated film that falls under the genres of Animation, Children's, and Comedy. This beloved movie has garnered positive user reviews, with many praising its heartwarming story and entertaining characters.""","Experience the timeless magic of ""Toy Story"" (1995), a beloved animated classic that will delight audiences of all ages. This heartwarming film combines captivating animation, charming humor, and a heartwarming story that will bring joy and laughter to children and adults alike. Join Woody, Buzz Lightyear, and the rest of the lovable toy characters on a thrilling adventure that will capture your imagination and warm your heart. Perfect for family movie nights, ""Toy Story"" is a must-have addition to any movie collection."
147,"Title: GoldenEye (1995)
Features: Action|Adventure|Thriller

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","Title: GoldenEye (1995) is an action-packed film that combines elements of adventure and thriller genres. The movie follows the iconic character James Bond as he embarks on a high-stakes mission filled with suspense and excitement. With its thrilling action sequences and engaging storyline, GoldenEye (1995) is a must-watch for fans of the action, adventure, and thriller genres.","Experience the timeless classic, ""GoldenEye (1995),"" a thrilling action-adventure film that will keep you on the edge of your seat. Dive into a world of espionage, intrigue, and heart-pounding excitement as you follow the iconic secret agent, James Bond, on a mission like no other. With a perfect blend of action and suspense, this film is a must-watch for any fan of the genre. Get ready for an adrenaline-fueled journey that will leave you wanting more."
233,"Title: Four Rooms (1995)
Features: Thriller

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Four Rooms (1995) is a thrilling film that keeps viewers on the edge of their seats. The movie, released in 1995, follows a series of interconnected stories set in a hotel. With its suspenseful plot and engaging storytelling, Four Rooms is sure to captivate audiences looking for a thrilling cinematic experience.""","Experience the heart-pounding suspense of ""Four Rooms"" (1995), a gripping thriller that will keep you on the edge of your seat. Dive into a world of mystery and intrigue as you follow the twists and turns of this captivating film. Get ready for an adrenaline-fueled ride that will leave you wanting more. Don't miss out on the thrill of ""Four Rooms"" - a must-watch for all fans of suspenseful cinema."
47,"Title: Get Shorty (1995)
Features: Action|Comedy|Drama

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Get Shorty (1995) is an action-packed comedy-drama film that follows the story of a mobster trying to break into the movie industry. With a perfect blend of action, comedy, and drama, this movie keeps viewers entertained from start to finish. Users have praised the film for its witty dialogue, engaging storyline, and stellar performances. Overall, Get Shorty (1995) is a must-watch for fans of the genre.""","Experience the ultimate blend of action, comedy, and drama with ""Get Shorty"" (1995). This classic film delivers non-stop entertainment and laughs, making it a must-watch for fans of all genres. Immerse yourself in a thrilling story that will keep you on the edge of your seat from start to finish. Don't miss out on the excitement and charm of ""Get Shorty"" - a timeless masterpiece that will leave you wanting more."
75,"Title: Copycat (1995)
Features: Crime|Drama|Thriller

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Copycat (1995) is a gripping crime drama thriller that keeps viewers on the edge of their seats. The film delves into the world of criminal psychology, offering a thrilling narrative that captivates audiences from start to finish. With a mix of suspense and drama, Copycat (1995) is a must-watch for fans of the genre.""","Experience the gripping intensity of ""Copycat"" (1995), a thrilling crime drama that will keep you on the edge of your seat. Follow along as a brilliant criminal psychologist must outsmart a dangerous copycat killer in a heart-pounding race against time. With a mix of suspense, drama, and intrigue, this film is a must-watch for fans of the genre. Get ready for a pulse-pounding cinematic experience that will leave you wanting more."
1059,"Title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
Features: Drama

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","Title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) is a drama film that delves into the intricate world of Shanghai's criminal underworld. Set in 1930s China, the movie follows the story of a young boy who becomes entangled in the dangerous dealings of a powerful triad family. As the plot unfolds, viewers are taken on a gripping journey filled with betrayal, loyalty, and the harsh realities of survival in a ruthless environment. With its compelling narrative and strong performances, Shanghai Triad offers a captivating exploration of the complexities of power and relationships within the criminal underworld.","Step into the captivating world of ""Shanghai Triad"" (Yao a yao yao dao waipo qiao) (1995), a mesmerizing drama that will transport you to the vibrant streets of Shanghai. Immerse yourself in a tale of power, betrayal, and intrigue as you follow the gripping story of a young boy caught in the dangerous web of a powerful crime family.

Experience the allure of 1930s Shanghai as you witness the lavish sets, stunning costumes, and intricate plot twists that will keep you on the edge of your seat. With its compelling narrative and stellar performances, ""Shanghai Triad"" is a cinematic masterpiece that will leave you breathless.

Don't miss your chance to delve into the world of ""Shanghai Triad"" and discover the secrets that lie beneath the surface of this thrilling drama. Get ready for an unforgettable journey into the heart of a city where danger and desire collide in the most unexpected ways."
209,"Title: Twelve Monkeys (1995)
Features: Drama|Sci-Fi

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Twelve Monkeys (1995) is a captivating film that blends elements of drama and science fiction. The story follows a time traveler sent back to the past to prevent a global pandemic. With its gripping narrative and thought-provoking themes, this movie has garnered praise from viewers for its engaging plot and strong performances.""","Experience the captivating blend of drama and sci-fi in the timeless classic ""Twelve Monkeys"" (1995). Immerse yourself in a thrilling narrative that will keep you on the edge of your seat as you unravel the mysteries of time travel and the human condition. With its thought-provoking storyline and stellar performances, this film is a must-watch for fans of intelligent and gripping cinema. Don't miss out on the opportunity to be transported to a world of intrigue and suspense with ""Twelve Monkeys."""
389,"Title: Babe (1995)
Features: Children's|Comedy|Drama

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Babe (1995) is a heartwarming film that combines elements of children's entertainment, comedy, and drama. The story follows the adventures of a lovable pig who defies expectations to become a champion sheepherder. Users have praised the film for its endearing characters and touching storyline.""","Experience the heartwarming and hilarious journey of ""Babe"" (1995), a beloved classic that combines elements of children's entertainment, comedy, and drama. Follow the lovable pig who defies all odds to become a champion, teaching valuable lessons of friendship and perseverance along the way. Perfect for family movie nights, ""Babe"" is a timeless tale that will entertain and inspire audiences of all ages."
502,"Title: Dead Man Walking (1995)
Features: Drama

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Dead Man Walking (1995) is a powerful drama that delves into the emotional complexities of the death penalty. The film follows the journey of a nun who becomes a spiritual advisor to a convicted murderer on death row. Through compelling storytelling and strong performances, the movie explores themes of redemption, forgiveness, and the human capacity for empathy. User reviews praise the film for its thought-provoking narrative and impactful portrayal of moral dilemmas.""","Experience the gripping drama of ""Dead Man Walking"" (1995) that will keep you on the edge of your seat. Delve into a powerful story that will touch your heart and leave you contemplating life's deepest questions. Join the emotional journey of redemption and forgiveness in this timeless classic."
188,"Title: Richard III (1995)
Features: Drama|War

User Reviews:
 [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]","""Richard III (1995) is a compelling drama film that delves into themes of power, manipulation, and betrayal during a time of war. The movie follows the ruthless and ambitious Richard III as he schemes and plots his way to the throne. With a mix of political intrigue and intense battle scenes, this film offers a gripping portrayal of one of Shakespeare's most infamous characters. Fans of historical dramas and war films will appreciate the depth and complexity of Richard III (1995).""","Experience the gripping tale of power, betrayal, and war in the timeless classic ""Richard III"" (1995). Immerse yourself in the drama and intrigue as you witness the ruthless pursuit of the throne. This film promises to captivate you with its compelling storytelling and intense performances. Dive into a world of political turmoil and moral dilemmas, making it a must-watch for fans of historical dramas. Don't miss out on the opportunity to be swept away by the epic narrative and unforgettable characters of ""Richard III."""
