title,features,description,price,average_rating,rating_number,itemId,all_reviews_text,metadata_text_count,has_review_text
H2H Mens Active Short Sleeve Polo Lightweight T-Shirts of Various Styles,"['100% Polyester', 'Pull On closure', 'Hand Wash Recommended / Machine Cold Wash, Tumble Dry Low With Care.', 'Style no : #CMTTS267 - Two tone color button closure polo shirt', 'Characteristics : Cool & Dry-comfort fot all day, Well breathable fabric, Excellent soft & smooth feeling. Application : Sportswear/Casualwear/shirts/underwear', 'Fabric ; 100% Polyester. Made of soft hand feel fabric, breathable, lightweight, comfortable to wear all day', 'Occasion ; Such as daily wear, casual, team sports, baseball athletic, work, beach walking,vacation,etc. Wonderful gifts for your husband, boyfriend, dad, son or friends. And Appropriate for sports, baseball, beach,athletic, workout, business,daily dress and casual occasions.', 'Size ; Instead of the size provided by Amazon, please refer to the size chart image on the left images and purchase the item.']",[],16.99,4.1,724,21950,"Bought for a coworker to put Cricut design on. Did the job. [SEP] lightweight and feels cool to the touch. nice form fitting. [SEP] This is a nice light weight breathable shirt. I really like the color combination and the pattern they chose for incorporating the gray. The sleeves have a band on the end of more thick elastic type material. I went up one size when I ordered this and thank goodness I did or it would fit too tight to wear. Overall I do like it, fits nicely going up a size, perfect for warmer weather, and nice classy appearance. Will recommend to others as long as repeated washings does not cause seam failure or any other fabric flaw. [SEP] Love the shirt. It is comfortable and fits well. [SEP] First positives: material is lightweight, appears sort of perforated, best use for active wear.<br /><br />Negatives: sizing is far off base.  I ordered XL per their sizing recommendations.  XL fit closer to 2XL or 3XL.  I can't even fathom what size would correlate with XL.  There is no indication the shirt was made slim, after trying it on.  You might as well wear a dress. [SEP] I ordered this shirt because it is moisture wicking and looked nicer than most of the other ones I've seen, or own.<br /><br />The materials are decent.  They are on par with just about every other shirt like this.  There is nothing that sets it apart there.<br /><br />It does run a little tighter than I'd like and it's a little shorter than I'd like.  You'll want to buy a size that is a solid one size larger than what you normally would buy.<br /><br />It seems well put together.  I have no concerns about it holding up over the long run.<br /><br />Overall it's a decent value.  I'd consider buying another in a size larger. [SEP] I like the fit even though it's smaller than how XL normally fits [SEP] This polo is very nice. The material is easy to take care of. Dries quickly. While it is synthetic, it feels good on the skin. The navy color is a nice dark blue and the white accents makes the body look slimmer!<br /><br />The sizing is fitted -- true to size but slim fitting.<br /><br />Good shirt for all around casual use. Recommended. [SEP] Love the material and how it fits. [SEP] My husband is 6’2” and 200 lbs. We ordered a large and it fits him just right. The proportions are just right- not too long or baggy in the torso, sleeves not overly long or large. The material is soft, lightweight and breathable. We especially like the blue accents which add interest, and help add to the visual “shape” of the shirt. It looks great and he really likes it.",3,True
icyzone Workout Tank Tops for Women - Running Muscle Tank Sport Exercise Gym Yoga Tops Athletic Shirts,"['70% Polyester, 30% Rayon', 'Imported', 'Pull On closure', '√ An exaggerated armhole design lets the tank hang over loosely for a relaxed feel', '√ Racerback style with bound edges and flatlock seams', ""√ Flat lock stitch to reduce chafe. Please zoom in the product picture and fabric details to make sure it's what you want"", ""√ This Women's Training Tank is ideal for your workout. Lightweight, sweat-wicking fabric helps keep you dry, while a hip-hugging cut and slightly exaggerated arm hole creates a modern silhouette you can move in"", '√ Please check our size chart before purchasing if you are the first time to buy this product. Enter our store to find the matching part: sports bra, yoga pants, active shorts etc.']",[],14.99,4.5,6074,3645,Bought this for my wife and she didn’t like this at all - I’m going to return it. [SEP] This is a fun cut to show off your favorite sports bras! [SEP] fits well for petite [SEP] XS was perfect on my petite Athletic size 4 frame. This shirt is classy with the high neck but a little edgy with the open sides. The material is soft and light. The army green looks just like the picture (more like a light forest green). I can’t wait to go workout in it! [SEP] Wore this in The Bix 7 2019 and loved it!! [SEP] Light weight and very comfortable and fits perfect [SEP] Sizing is way off. I am always a small in workout shirt and this was way too tight and super tight at the bottom of the shirt. Odd and uncomfortable [SEP] This shirt is great for exposing a cute sports bra! [SEP] Order a med. tied a not in front since it Alittle baggy around the waist. Love it. [SEP] These are cute with a lacey bra as you will be able to see through the sides.  I am a size 6 and ordered a small.  I think I will go with an extra small next time but still fits nicely.,3,True
Goodthreads Women's Heritage Fleece Basic Jogger Pant,"['87% Cotton, 13% Polyester', 'Imported', 'Drawstring closure', 'Machine Wash', 'This casual jogger features elasticized waistband with drawstring, pockets, and rib cuff. The perfect pant for all of your adventures', 'Our fleece is plush, cozy, and cloud-like.\xa0 Whether garment dyed, heathered, or nepped, it is soon to become the piece you reach for over and over again', 'From our hand-selected fabrics to our wide range of fits, you can rely on Goodthreads to be effortless, stylish, and crafted with care', 'Model is 5\'10"" and wearing a size S']","['An Amazon Brand - This casual jogger features elasticized waistband with drawstring, pockets, and rib cuff. The perfect pant for all of your adventures', 'From our hand-selected fabrics to our wide range of fits, you can rely on Goodthreads to be effortless, stylish, and crafted with care.']",27.92,4.2,668,34273,"These are a really nice fabric, nice heavier weight and very soft. That said the fit is odd. Very large in hips and waist and disproportionately slim in the legs. Not cute lol. Unfortunately not even ok for lounging at home due to fit. Had to return. [SEP] Lower in the waist than I prefer and fit more like Capri's (5'11"", size L).  Shame because the style was very cute. [SEP] These joggers are thick and warm. They are made with sweatshirt like fabric. I like these for lounging around but they are too thick and hot to do use while running. However, I can wear them over my gym shorts for running to the gym on cold days.<br /><br />As far as fit, I got these in a size medium which is what I usually wear. They fit me as I would expect without being too loos or tight. I like that they have a drawstring so I can cinch the waist tighter as needed. There is a knit band around the ankles which keeps these from sliding up. I like these for camping and sitting around the campfire at night when it's a little chilly. Overall, I like these. I'm not totally in love with them. They don't look great, just something to wear around the house. [SEP] I'm 5'8 135 and these are waaayyy too short [SEP] Nice quality but too warm in Ca...thought it would be lighter material. [SEP] I am 5'2"" so the short inseam was okay for me. I took the advice of Amazon and ordered a size up. They are eay to big.  I did try to wash and shrink them, I should have purchased the medium. 🙄 [SEP] I have been all about comfort lately, I mean, these days we are staying home more, so why not be comfortable.  These pants do the trick.  they are warm, and comfy.  they fit OK, they are a little on the big side, but I love my comfy pants being a tad baggy.  I know joggers aren't the most flattering, but there are times when comfort and warmth wins over.  Made well.  will last a long time. [SEP] Very flattering, warm and comfortable. Since working from home I needed something cute that I could also run errands if needed during the day. I love the colors on these. [SEP] Friendly Warning: The blue, yellow and pink pants are a far more better quality cotton material than the grey and lighter white one which are more synthetic fabric.<br /><br />I got them yesterday, the fabric is awesome, soft and not too light, but light enough for the summer. The color is a beautiful yellow as shown. I am 5.5 110 lbs, I ordered the small, they fit perfectly, not snug, roomy comfy and the length is perfect. A great buy, great quality for your money! [SEP] Very comfy",3,True
Aoxjox Women's High Waist Workout Gym Vital Seamless Leggings Yoga Pants,"['54% Nylon, 34% Polyester, 12% Elastane', 'Imported', 'Elastic closure', 'Hand Wash Only', 'Aoxjox workout, train, sweat and perform in the vital seamless leggings, they runs true to size', 'These workout leggings fits perfectly, sweat proof, no see through (black marl is not squat proof). Perfect for workout and so flattering.they looked tiny when you opened the package, but it’s the right size', 'Combining a high-waisted fit, sweat-wicking fabric, the feel on the skin is great and the butt lifting leggings effect is awesome !', 'The workout leggings for women with seamless contours, they’re constructed to ensure confidence and support for a workout or yoga, with additional style for good measure. These are snug in the right place. you are curvy so they definitely are flattering', 'This workout leggings is SO cute and long enough for tall gals! Most color is indeed squat proof great for working out. It didn’t slide while working out, overall though, especially for the price, this is a great buy !!']",[],26.99,4.3,8754,3007,"I am on the heavier side and do not like very compressed workout leggings as I feel like a stuffed sausage and I am unable to squat comfortably. I purchased the indigo color in a medium. These are super soft and extremely flattering! They hold you in but do not give the compressed feel. Husband immediately told me I should buy more :) I am such a fan and will be ordering more colors soon! [SEP] So, I bought these leggings in both a M and a L. I pulled the M out and they looked TINY. I tried both on and they are both tight but the L seems to give off more camel toe than the M. Which is strange. I like the M but there are a couple downsides. The leggings are not full length. More like 7/8. Also I wanted to give them the go round at the gym before I reviewed. They aren’t really sweat proof. I mean it wasn’t awful, but I stopped at less than 2 miles and I usually go 3.5 because I didn’t want it to get worse. More like a darker tinge on the crotch sweat regions. I also bought the shorts. I’m not sure if I’m going to keep them yet because the M is way to tight around the legs and I’m scared the L will have the weird crotch fit. So, I’m in between on these leggings. [SEP] These are great, I use them for working out, weight lifting specifically and they absorb sweat pretty well while making you feel cool, it keeps you compressed without digging into you're skin, and the price is great, the waist band sits pretty high but im also 5'1 and that's kinda always the case. [SEP] First of all i thought the fabric was going to be more thick, its not like super lightweight as the ae ones, but lighter of what i thought. Anyway, great surprise, they are SUPER soft and confortables. Squat proof, and no cellulite showing! For me is win win. Im going to use them tomorrow for leg day, so i will update on performance. But as today, i will purchase more colors for sure. :) [SEP] Very fitted. They don’t get loose when working out. Durable material but not too thick. [SEP] You get camel toe with this!! It’s upsetting to not have noticed that before I removed the tags. It’s not pure black leggings either. It’s more heather black. I don’t think this is as cute as in the picture. It is high wasted though so that’s a positive side of this. [SEP] These leggings are *chefs kiss*, super flattering, stretchy, and comfortable. These leggings do not fall down and you cannot see through them. 10/10!! [SEP] I am 5' 10"" (fit 155lb to 165lb) and they fit well. I bought these to compare to Gym Shark brand and they are almost as nice, slightly less soft, but comfy. [SEP] Love these leggings! They make your legs/butt look so nice and are super comfortable. No camel toe, doesn't get too hot, and they stay nice and tight.<br /><br />Would definitely repurchase these in more colors! [SEP] Great",3,True
"Orthofeet Innovative Orthopedic Slippers for Men - Ideal for Plantar Fasciitis, Foot & Heel Pain Relief. Arch Support Slippers, Cushioning Ergonomic Sole & Extended Widths - Asheville","['Faux Fur', 'Rubber sole', 'Faux fur interior keeps feet warm and comfy', 'Adjustable strap provides a perfect fit', 'Soft suede leather upper offers comfort and durability', 'Premium orthotic insoles with anatomical arch support (removable) help relieve common foot pain & plantar fasciitis', 'Cushioning sturdy sole with a mild Rocker enhances stability']","[""Experience ultimate comfort and support around the house with Asheville arch support men's slippers. Premium orthotic insoles (removable) provide anatomical arch support and excellent cushioning, enhancing comfort from heel to toe. Ergonomic-Stride sole improves the ease of walking and helps alleviate pain on the heel and ball of the foot caused by flat feet, plantar fasciitis, bunions, arthritis, neuropathy and diabetes. Hook and loop straps on both sides of the slipper allow you to perfectly adjust the fit. The wide, roomy toe box provides a pressure free fit and extra room for toe movement.""]",120.0,4.6,3988,3756,"good support, warm slippers, overpriced [SEP] Excellent support for alignment; knee especially as well as hip(s). Removes my son's~leg/alignments long day on his feet strain +++after heavy exercise/post surgery/long days. Definitely helps a ankle (3 breaks) & knee (2/cadaver parts); re aligns total body will not wear any other ""lounge shoe"" when this one Eases & Repairs ...also helps relative w/plantar fasciitis...funny he says he has left the house w/them on several times (YES he has a inside & outside pair) & asks for them as gifts (though a pair holds up Way past looking ""new"")! Excellent foot bed. I hope this company never cheapens things as so many have! [SEP] Great slippers. Comfortable. Support is perfect [SEP] well made,priced right and a good fit [SEP] These are comfortable [SEP] If you want UGGs but need support, then this is the footwear for you. The tops are adjustable and insoles are removable to allow for custom support devices. [SEP] My feet said 'meh' when I put these on, and for $100 I expected 'ahh', more softness in the cushioning.  Returning. [SEP] They are very supportive and really make my feet happy! [SEP] Another good fit from Orthofeet... I purchased shoes too... both are extremely comfortable... [SEP] Comfortable and warm. Easy on and off for a very old man.",3,True
Jeff & Aimy Womens Cotton Trucker Baseball Cap Dad Hats Outdoor Casual Sequin Visor Sunhat Adjustable Performance Cap Grey 57-59CM,['Snap closure'],[],,4.1,9,279130,"My granddaughter loves hats and bling, so I ordered a Jeff & Aimy baseball hat as a gift [see pictures below]. The cap that I ordered is black with a butterfly embroidered on the front. The butterfly is embroidered in shades of purple and white, with sequins added to the front facing wing. The outside of bill/ visor is covered with sequins and the underside has black material. The hat is adjustable so that it fits perfectly. You can adjust it by using the belt that is on the back. The bill/ visor can be adjusted so that you can keep the weather or sun out of your eyes. This is a really cute hat that will add bling to any outfit and joy to anyone who wears it. [SEP] Cute hat but not sure what age it will work for. Too kidish for me, so i tried to give to my 13 year old nieces, they both said to babyish for them, so my 4 year old claimed it. She loves it, but of coarse it is too big for her head! [SEP] I try and keep hats on my daughter esp during the summer to keep the sun off her face.  But she only likes 'fancy' hats.  This is the perfect compromise.  ""Fancy"" but a baseball cap.<br /><br />The butterfly is beautiful and the sequins are well sewed and do not shed. [SEP] This is a very cute cap I got for my 9 year old daughter. She love wearing them in the summer and loves purple so I thought she’d really like this and she does. The back to tighten it is different than I’m used to but it’s nice and easy to do. My daughter really likes the sequin on the bill of the hat and says that it is comfortable to wear. I think the quality of the hat is pretty nice and I see it lasting a while. Definitely recommend. [SEP] Cute and stylish<br />Better than I expected, good quality and well made, fits right and it’s comfortable.<br />Highly recommend",3,True
Orchid Row Kimono Printed Chiffon Open Front Ruana Wraps for Women Yellow,[],[],,4.2,14,4686,"This is a short kimono top with an open front. It is a one size fits most. This works well as a very lightweight cover over an outfit. You can also wear it over a swimsuit or a shorts type outfit. I find that it really enhances some of my outfits. [SEP] The design on this komono is lovely. The material isn't my favorite, though. It's a bit on the rough side. I like having things like this around to throw on in case a visitor comes over and I don't feel modest enough. For that purpose it works fine. It's not a flattering length at all, though, at least on me. I think it would look a great deal better if it were longer. Kimonos have great potential to be elegant and pretty, but this one just looks awkward to me. [SEP] My daughter loves this bright colored Kimono.  This top is a one size fits all.  Made of 100% polyester.  She likes to wear this Kimono over another top.  It has an open front.  It is a bright yellow color with wonderful print of ferns.  There is a tie on the front should you want to tie this top instead of leaving open to flow.  This is a very nice Kimono by Orchid Row.  She loves it. [SEP] This is such a comfortable top for spring and summer.  It is light weight and airy.  It gives you some coverage from the sun or to keep some modesty, but still leaves you feeling comfortable and cool.  It is very flattering. I like that it is short enough to wear with pants or even shorts.  This can come in very handy all summer. One of your go-to tops.",3,True
90 Degree By Reflex High Waist Squat Proof Tummy Control Power Flex Yoga Capris with Side Pockets,"['79% Polyester, 21% Spandex', 'Pull On closure', 'Side Pockets. These capris have side pockets on each leg for storage on the go. Whether you need a compartment to hold your smartphone, car keys, or wallet, these are the cropped leggings for you. Even better, there’s a hidden key pocket in the waistband for additional items you may need to hold onto like hair ties, clips, or cash. Heavy backpacks or bulky purses are a thing of the past because these leggings are the ultimate convenience and allow you to travel hands-free.', 'High-Tech Carbon Interlink Fabric. Fabricated from 79% polyester and 21% spandex, these gym capris were designed with the most advanced four-way stretch squat-proof material. Our performance leggings will never be sheer when you bend, squat, or lunge. Visible panty lines are a thing of the past, so stay confident that you are fully covered. Compare your hip, waist and inseam measurements with our size guide to help you determine the perfect size for you! Approximate model size (S).', 'High Waist Tummy Control. Say goodbye to muffin top and hello to a smooth, flat tummy. These high rise tummy control capri leggings provide gentle compression to your midsection, giving you a toned and trim look. Our high waisted workout capris with a 22” inseam, are a popular style for women of all ages for the excellent fit and supreme comfort. The high rise gives women that extra boost of confidence to look and feel their best. The 4-way stretch moves with you, retaining its shape over time.', 'Reliable, Well-Loved Brand. 90 Degree by Reflex is a lifestyle brand that combines style, comfort, fit, and performance. Our high-quality activewear is both affordable and accessible, perfect for fitness enthusiasts and everyday athleisure. Rest assured that you will receive a quality product from Amazon’s #1 seller of athletic leggings and other athleisure products. Consumers love our products and the reviews speak for themselves. Get on board with the brand that men and women are raving about!', '30-Day Money Back Guarantee. 90 Degree by Reflex’s products are sold with a 30-day, full-money-back warranty and can be returned no questions asked. Add these women’s leggings to your cart by clicking the ""Add-to-Cart"" button and buy it now. We run out of inventory quickly, so order now while colors and styles last.']",[],18.99,4.5,8356,3322,"They are what I expected. [SEP] Nice yoga pants.  I ordered my regular size and they fit well.  They're not too thin.  I'll enjoy wearing these for my yoga practice. [SEP] I bought these for my mother who needed compression leggings to keep swelling down in her legs. She absolutely loves them and would like another pair.  One tip though, they run long and fit her more like a full length legging. [SEP] So, I really liked these pants.  They fit well, have a nice mini pocket that can hold my fitbit, etc.  Here is the problem.  I bought these in February.  It is now June.  I have probably worn them 15 times.  I have already sewn the crotch once because it started to tear.  Now, there is another tear starting.  It just seems like they should not be falling apart yet.  But they are.  Buy something else that is higher quality.  These are just too thin to hold up to any kind of actual use besides maybe lounging around the house. [SEP] I have about 6 different pairs of this brand now. I LOVE them all. They fit great, aren't see through, they stay in place while working out and they are really well made. [SEP] Perfect for yoga. I go to hot yoga and these never start to slip down. The stay perfectly in place and are super comfortable! [SEP] Super comfortable and soft but supportive [SEP] I  am 5'3  and weigh 140, I bought a size Large. I like the fabric and pocket. However, I am long from waist to crotch and these fit about 1 inch too low on my hips, giving me a lump above what looks like the waistline in the photo. [SEP] Ordered the same size as I regularly wear - M - and could barely pull them up. [SEP] My favorite legginns!  I want every color! They feel great on.",3,True
NCAA Officially Licensed College - University Team Color Athletic Arch Hoodie,"['50% Cotton, 50% Polyester', 'Pull On closure', 'Machine Wash', ""EXCLUSIVE Hoodie from Underground Printing, Printed and Designed in the USA. Unisex fit that's Perfect for Men and Women. Great addition to any wardrobe."", 'HIGH QUALITY PRINTS Machine washable (We suggest you wash inside out for a longer lasting print). Whether you are tailgating at a Emory football game, or in the stands cheering on the Eagles Basketball team. Show off your Emory Pride in this hooded sweatshirt. Great for Christmas gifts, birthdays or just to treat yourself to a great graphic hoodie.', 'SOFT FABRICS Printed on Heavy Blend Hooded Sweatshirt - 8.0 oz., 50/50 cotton/polyester, Reduced pilling and softer air-jet spun yarn, Double-lined hood with color-matched drawcord, and Front pouch pocket', 'GUARANTEED 100% Satisfaction Guarantee, Available in S - 3XL This hoodie runs true to size and is pre-shrunk.']","[""Underground Printing is a national custom printed apparel provider, offering screenprinting and embroidery on a wide variety of apparel and promotional products.Founded in 2001, Underground offers high quality products, great prices, and unmatched service to customers large and small, from national retailers and Fortune 500 companies to local businesses and college student groups.Underground provides you with high quality screenprinted and embroidered products customized with your designs. We began with t-shirts (which continue to be our specialty), but they are only the beginning of what we offer for custom decoration. Hoodies, polos, pens, hats, frisbees, magnets, jerseys, sweats, and more - we do it all at Underground Printing.We have Underground Printing stores throughout the nation in the heart of the communities we serve, and that list of communities is growing rapidly. At Underground Printing, it's our goal to make your order process as convenient and hands-on as possible. If it's convenient, stop by one of our stores to place your order, or you can always give us a call or order online. Think we would be a good fit in your area? Let us know!All of our garment print production is done in our state-of-the-art 55,000 sq. ft. production facility and warehouse located in southeast Michigan. We utilize top of the line equipment to fulfill your orders in a wide variety of decoration methods: screenprinting, embroidery, digital printing, vinyl heat seal, and more. We are proud to be manufacturing in the good ole U.S. of A.Our technology and infrastructure allows us to provide the best quality, the lowest prices, and with the shortest turn-arounds in the industry. It is these traits that have propelled our growth, allowing us to be ranked in Impressions Magazine's Top 50 high-volume screenprinters for 6 years and among Inc. Magazine's 5000 fastest growing companies for 3 years running.""]",44.94,4.2,3,33439,"Husband loves it! [SEP] Perfect! It was a gift and she loved everything about it. And I liked the quick shipping. A+ [SEP] I bought this as a birthday gift for my nephew. He sent me a picture that showed it fit perfectly! Go Blue!! [SEP] Great team spirited sweatshirt. The sleeves in length ran short. Perhaps having an option for big and tall would have worked out better [SEP] I am a petite 5'4"", 110 lbs female and ordered a Medium in this, expecting it to be oversized. It's slightly oversized but barely (i.e. it sits at the bottom of my waist and doesn't cover the tush), and shrunk in the wash on cold water, low heat dry. Most importantly, the fabric looks cheap and feels cheap (especially on the outside)--with a rougher exterior hand/finish characteristic of a high and cheap polyester content. It is thinner than most hoodies, sort of ""scratchy"" on the outside, which started pilling (!) after the first wash. When it arrived it also had that strong ""dye"" odor, typical of cheaper fabrics. Lastly, the neck is tight AF, and difficult to pull over my head. This company should use a better quality sweatshirt, as the logo is the only thing that looks good. (Go Blue!) Fail. [SEP] I don't recall the price but I remember it being very reasonable.  I wear a large in most shirts but like a hoodie to be a little big and the XL was perfect for me.  It's roomie like I want it without being ridiculously long like some XLs are on me.  Overall I recommend this sweatshirt.  I do not, however, recommend anyone rooting for IU unless you just don't have enough stress in your life. [SEP] Fits great. I love it. Perfect for colder weather [SEP] This sweatshirt has a perfect fit and is really high quality. [SEP] As described [SEP] Good hoodie that my son likes.  I gave 4 stars because I'm not a Michigan fan.  If it was a Wisconsin badgers hoodie, I'd say it's a really nice hoodie and I'd buy it again.",3,True
Nurse Mates Womens 12-14 MMGH Compression Calf Socks,"['87% Nylon, 13% Spandex', 'Pull On closure', 'Machine Wash', 'GRADUATED COMPRESSION: helps improve circulation and relieve leg fatigue to relieve the pain in your legs. 12 - 14 mmHg Graduated Compression socks offer progressive compression support for muscle stability and enhanced circulation to aid your recovery. In addition, it helps prevent swelling, varicose veins, DVT, blood clots and reduces soreness.', 'SUPERIOR COMFORT: 87% Nylon, 13% Spandex blend fabric that fits snugly, wicks moisture, dries quickly, and naturally resists odor. Meanwhile, they are lightweight and durable, keeping feet dry, cool, and comfortable.', ""ADDED COMFORT: Comfortable Heel and Toe Pocket that doesn't pinch. Also, a comfort welt top band that keeps your socks staying up all day."", 'FOR ALL PROFESSIONS: Ideal for long-distance travel, runners, workers that are on your feet all day. Perfect for road trips and long flights; pregnancy and maternity.', 'Easy Care: Machine wash is fine, just on gentle cycle. One size fit most.']","[""Nurse Mates 12 - 14 mmHg Graduated Compression with superior support fit. Compression helps improve circulation and relieve leg fatigue. Comfortable Heel and Toe Pocket doesn't pinch. Comfort welt top band keeps socks from sliding down. Also helps to increase circulation and prevent swelling. One size fits most. Fabric: 87% Nylon, 13% Spandex.""]",14.95,4.6,6161,1227,"Great buy at a great price and they were packed great! [SEP] Good feel good support [SEP] Good fit good support [SEP] I love these they are super cute and work well underneath my scrubs. They really help with leg pain and swelling. [SEP] wonderful support [SEP] Great and cute compression socks with an excellent amount of compression for someone who likes light to medium compression. [SEP] Hospital night shift approved! [SEP] Oddly enough, although these are thicker than my other support hose, these are the FIRST pair to run!! I have such thin nude color and many colorful supp hose that are so sheer and light weight, they feel like pantyhose, BUT they last;  not a single run in any of them and I wash them in the washing machine. This brand is already falling apart ie runs, after wearing twice! I do not recommend these. Check out Celeste Stein for colorful hose. Of note: most of these One Size jobbys aren't for the super slim. They just won't provide much compression for skinnier calves. [SEP] I wear these every work day!! [SEP] Love compression socks for those looong shifts!",3,True
