title,features,description,price,average_rating,rating_number,itemId,all_reviews_text,metadata_text_count,has_review_text
Toy Story (1995),Animation|Children's|Comedy,,,,,24, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
GoldenEye (1995),Action|Adventure|Thriller,,,,,147, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Four Rooms (1995),Thriller,,,,,233, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Get Shorty (1995),Action|Comedy|Drama,,,,,47, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Copycat (1995),Crime|Drama|Thriller,,,,,75, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,,,,,1059, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Twelve Monkeys (1995),Drama|Sci-Fi,,,,,209, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Babe (1995),Children's|Comedy|Drama,,,,,389, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Dead Man Walking (1995),Drama,,,,,502, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Richard III (1995),Drama|War,,,,,188, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Seven (Se7en) (1995),Crime|Thriller,,,,,229, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Usual Suspects, The (1995)",Crime|Thriller,,,,,297, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Mighty Aphrodite (1995),Comedy,,,,,432, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"Postino, Il (1994)",Drama|Romance,,,,,133, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Mr. Holland's Opus (1995),Drama,,,,,68, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
French Twist (Gazon maudit) (1995),Comedy|Romance,,,,,39, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,,,,,324, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
"White Balloon, The (1995)",Drama,,,,,1233, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Antonia's Line (1995),Drama,,,,,1069, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
Angels and Insects (1995),Drama|Romance,,,,,59, [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP]  [SEP] ,3,True
