rating,timestamp,title,text,userId,itemId
5.0,1587205458621,Great socks for the gym or for your house,"Nice socks. They say they are for yoga/pilates, but I like them just for walking in my house. I live in Florida and my entire house is tiles and tends to be very slippery. These socks have 'grips' on the bottom that help prevent me from slipping while navigating my house. Of course, I have used these for yoga classes as well (I have never tried pilates) and they work great when I am up at the fitness center here taking a class. Highly recommend these for whatever you need them for, quality made, soft, comfortable and keep my feet warm.",19,28
5.0,1579433019201,"Nice, warm merino wool socks!","I absolutely love these socks. Super soft and at a reasonable price, these socks are made of Merino wool and are sure to keep your feet warm during the harshest winter days. The fact that they are Merino wool means they are thinner and more lightweight than traditional wool, but their warming factor is not diminished. This 5 pack of socks were perfect for me and I am able to have almost a week's worth of socks for my use and I wear them whether it is with jeans or even the darker colors with my work wardrobe. Highly recommend.",19,29
3.0,1549712804435,Quality made but runs small,"Nicely made, lightweight windbreaker. Easily folds up for taking backpacking or even just sightseeing (in case of a random shower). Where this falls short is in the sizing. This runs very small. My son is thin but tends to wear a large (due to his height), he had difficulty zipping this up (was too tight on him). If  you buy this, definitely size up. Not sure he will ever wear this due to the fit, I may take for use for myself when traveling.",19,32
4.0,1458131654000,Great running support socks for cooler climates,"Great running socks for those who need extra support and wear long running pants. Typically my husband likes to run in shorts so these are not good for him as everyday. They are also heavy and would be difficult to wear in the summer weather months down here in Florida. However, I would highly recommend these for cooler climates where running in jogging pants is the norm. Great support and durability. My husband loved the way his legs felt after running 6 miles in them. In his words, his legs felt energized and massaged after his work out. Rated them as 4 stars instead of 5 as they will have limited use down here in the hotter weather and due to the price of $20+.",19,34
5.0,1628625443309,"Cute shorts, fit well",These sorts are cute and they fit well.  Stylish,81,175
5.0,1576895241865,Nice product.  The lettering is clear,I love the inspirational statement on it. It's a nice quality key chain and the lettering is clear.,81,178
5.0,1567879366472,These are some nice sunglasses for the price.,These sunglasses cut the glare.  They are lightweight and look great!  I have gotten more compliments on these big square glasses than any other glasses I have had.,81,179
4.0,1556232900010,Love the hat. It's a little bit too floppy,"I love the hat, but it's a little bit too floppy.  It would be nice if it had a little bit more stiffness to it.  It looks very nice on and protects my face from the sun.",81,181
3.0,1546549893662,Just ok,"These aren't very good quality for the price.  For $25, I would expect a softer feeling fur.  The fur is a bit on the long, silky side, but not very plush. Warmth is ok, not as good as it could be.",81,183
5.0,1648308860099,Nice Shirt,"When I first opened this shirt, I was immediately impressed with the quality. It reminds me of a eco-friendly boutique type garment. It does have a climate pledge friendly label on it which means it is more sustainable. The shirt quality is very good. The size is as expected. It's a good thickness and much nicer than a lot of basic t-shirts out there.",85,205
4.0,1583380431592,Just What We Needed,"My daughter participates on an independent winter guard team. They are required to wear footless dance tights underneath their costumes. These are just what we needed. They are comparable to other dance tights that we've purchased before. They're sturdier than regular tights or pantyhose. My daughter usually wears a size medium in pants, but I ordered these in the large size. They actually fit nicely on her. They move with her and don't restrict her movement which is important as she does a lot of dancing on the guard team. She's worn these for a couple of events/practices so far and they've held up just fine.",85,236
4.0,1575908925513,Sturdy!,"I don't use crossbody bags for everyday, but when traveling, they're my go-to bag. This one is brightly colored with a tropical floral pattern. The zippers are all heavy duty ones and glide easily. There are 3 outer zipped pockets and one interior one. There are also a couple of pockets inside, too. The shoulder strap is adjustable. One side is attached to the bag and the other is on a metal ring. The material seems to be water proof which is nice in case you get stuck in rain. There's enough room for the basics - keys, phone, wallet, lip balm, and portable phone charger. We're going to Disney soon and I will definitely use this on the trip.",85,244
3.0,1566510469023,Okay,"These sunglasses are okay. They do offer good sun protection. The lenses are way too large and they don't look that great on my husband. With that being said, he will wear them while driving because he needs to, but they're too big to wear out in public. A larger head might look better in them. The sunglasses are light weight and don't feel super cheap, but they definitely don't feel solid and high quality either. The storage case is a nice bonus.",85,247
3.0,1565615698246,"Cute, But Not Sturdy","These sunglasses are cute and stylish. However, they are not very sturdy. They have a cheap feel to them and don't feel like they will last long. My 18 year old daughter loves the way these look!",85,248
5.0,1563587352483,Nicer Than Expected!,"My daughter is working as a life guard this summer at a nearby water park. She has already lost a couple of pairs of sunglasses at work. She's been in need of some inexpensive yet functional sunglasses. These have been nicer than expected. I would consider these to be better than dollar store quality. They're not high end quality either, but they're definitely decent enough to wear out and about. And they're perfect for her to wear to work! They come in a variety of bright colors. They do a good job of protecting her eyes from the sun. They would be great party favors!",85,249
5.0,1557139253593,Nicely Cushioned,These kids athletic shoes are nicely cushioned. They are fairly neutral looking. There's adequate traction on the soles. They fit as expected. I wish they made these in adult sizes!,85,253
4.0,1543887677630,Cute Set!,"This is a cute scarf and hat set. The yarn of this hat and scarf set is much softer than I expected. The stitches are not your usual knit stitches. There are a few stitch loops that look like they have been pulled for a lack of the correct terminology and they stick out a bit further than the tighter stitches. I will have to be careful with those because if something catches on them, it may pull the yarn significantly. The edges are finished nicely. The hat runs a little small in sizing and does not fit my large head, however, I don't usually wear hats because they interfere with my bangs. Overall, I like it and expect it to keep me warm this winter!",85,257
