model,Recall@5,NDCG@5,MRR@5,Recall@10,NDCG@10,MRR@10,Recall@50,NDCG@50,MRR@50,ColdRate@10,Coverage@10,PopularityBias,Fairness,Novelty,Diversity,CalibrationBias
MF,0.004536478128027424,0.0034723568879164667,0.003834115805946792,0.008977010209404576,0.005102690270738207,0.005139168343393695,0.034627207690587976,0.011412706289524318,0.007043576920181493,0.09941314553990609,0.052914798206278015,0.4790400296515937,0.8008076860968295,6.641083937196514,0.0,0.0
BPR,0.007811513329489608,0.005710232129388496,0.007316118935837246,0.01837489361117975,0.008951208343061942,0.008973749906848497,0.059551454126139075,0.018822465474322658,0.01185099704496899,0.0,0.05381165919282512,0.7675932789720783,0.9242707788147279,5.8817103627164435,0.0,0.0
VAECF,0.002347417840375587,0.001926545984058078,0.002777777777777778,0.007857329160146061,0.0038706363589161965,0.003960801848125791,0.04292615965151176,0.01239593873785983,0.00626859585652267,0.12030516431924883,0.11031390134529147,0.4698974549048678,0.8133668012521074,6.716605949179762,0.0,0.0
CTR_meta_only,0.03263270478800501,0.02762927150198135,0.03204225352112676,0.04651647034430578,0.03166197432752975,0.034615097995379686,0.12232273893226452,0.04986321215894957,0.039339352522903284,0.6821596244131456,0.9955156950672648,0.23975166790214972,0.7654905293854003,7.919565242533336,0.0,0.0
CDL_meta_only,0.0051838810641627545,0.005136177580992071,0.00655320813771518,0.013693270735524258,0.00794784909227586,0.007850808555033907,0.05182216593910441,0.017190375765331965,0.010273429621133263,0.661150234741784,1.0,0.2551519644180875,0.6970399690361848,7.791299831684111,0.0,0.0
HFT_meta_only,0.001291079812206573,0.0009916854674952877,0.0011737089201877935,0.005627282211789254,0.0026436602216270227,0.002415884194053208,0.03042840375586854,0.008860013362963711,0.004325649362319441,0.7458920187793427,0.15067264573991035,0.27703854707190506,0.8325437513302664,7.412619677904883,0.0,0.0
ConvMF_meta_only,0.00019561815336463222,0.00039807535830236636,0.0011737089201877935,0.0013693270735524255,0.0008575343171776294,0.0016171100678142932,0.006771476814100979,0.002392433373690531,0.002232384426240615,0.9083333333333333,0.504035874439462,0.10754262416604891,0.7931342139604683,9.203097101759539,0.0,0.0
CTR_all_reviews_text,0.030406513152992025,0.024725908759950194,0.028834115805946792,0.04666149252416858,0.02974089547459703,0.03194351292942842,0.1208286245026423,0.04774803510167657,0.036754526532306764,0.45598591549295775,0.9856502242152468,0.3319001729676303,0.7576292751254103,7.302502138246106,0.0,0.0
CDL_all_reviews_text,0.0051838810641627545,0.005163773534975757,0.006651017214397496,0.012226134585289516,0.0074710457806557015,0.007656587674193308,0.05087202062276191,0.016882177800306597,0.01023596777376579,0.6620892018779343,1.0,0.2549110452186805,0.6957522358951883,7.793815332991513,0.0,0.0
HFT_all_reviews_text,0.006867594455622625,0.0050688233285324045,0.005516431924882629,0.011171193829644533,0.006514747821468882,0.006270959087860497,0.033428390206559216,0.011778003003142195,0.007687468122633321,0.7307511737089201,0.5085201793721972,0.22339387200395355,0.7419215722049142,7.88156268358896,0.0,0.0
ConvMF_all_reviews_text,0.0,0.0,0.0,0.0,0.0,0.0,0.005528412366811181,0.0015321177727420207,0.000652343519339933,0.9901408450704225,0.23587443946188338,0.05772176921176179,0.9658328949212848,9.682304452867264,0.0,0.0
CTR_meta_human,0.03679670616290335,0.029553570777720015,0.03513302034428795,0.04376960415692809,0.03131045432488177,0.036481854087487886,0.12547523088201368,0.051135628055796176,0.04143873050711499,0.45457746478873234,0.9883408071748879,0.33101680256980476,0.7517155443851861,7.316686398391702,0.0,0.0
CDL_meta_human,0.006357589984350548,0.00559023017164294,0.006787949921752738,0.01134585289514867,0.007284011105494744,0.007593244653103809,0.048681097305078025,0.01648734149602117,0.010129776295528914,0.6607981220657277,1.0,0.2555040770941438,0.6966083643735907,7.789266086611809,0.0,0.0
HFT_meta_human,0.0036254564423578513,0.002571966354180937,0.0033841940532081376,0.007627244951188614,0.003919322856603429,0.004319435129294284,0.028313398911990462,0.009090544898338493,0.0058778169753569125,0.30269953051643184,0.05919282511210763,0.404058561897702,0.8151652904591292,6.873002194162052,0.0,0.0
ConvMF_meta_human,0.0021517996870109544,0.0015959155708813063,0.002543035993740219,0.007237871674491393,0.0034115484834231894,0.0037144161263879573,0.044859728546718915,0.012344163653323855,0.006081239202346584,0.6620892018779343,0.5946188340807176,0.26391771682727944,0.7672258344130979,7.604697308677383,0.0,0.0
CTR_s_synth_dense,0.03339997899857055,0.026949273439036598,0.030477308294209703,0.04723395084310577,0.03127687073985053,0.033221085773902675,0.10702696152103121,0.0457687564532618,0.03685980474769032,0.6288732394366197,0.9991031390134529,0.2638435878428465,0.7140009677732304,7.73087129585003,0.0,0.0
CDL_s_synth_dense,0.006357589984350548,0.00559023017164294,0.006787949921752738,0.012226134585289516,0.007464479927725528,0.0075848610179596095,0.051713178682229834,0.017111720711805643,0.010232943182642113,0.6656103286384976,1.0,0.2544724487274524,0.6966089452644272,7.79454677023164,0.0,0.0
