model,Recall@5,Recall@10,Recall@50,NDCG@5,NDCG@10,NDCG@50,MRR@5,MRR@10,MRR@50
CTR_s_synth_dense,0.03339997899857055,0.04723395084310577,0.10702696152103121,0.026949273439036598,0.03127687073985053,0.0457687564532618,0.030477308294209703,0.033221085773902675,0.03685980474769032
ENS_BPR__CTR_l_synth_aspect_rrf_k120,0.025677505579284676,0.046853972942742406,0.046853972942742406,0.017849543279316014,0.02547467714334171,0.025406031640412347,0.01827073552425665,0.02230605857366421,0.02230605857366421
ENS_BPR__CTR_l_synth_aspect_rrf_k60,0.025677505579284676,0.046853972942742406,0.046853972942742406,0.017695869859631206,0.025321003723656903,0.025252358220727536,0.018075117370892017,0.02211044042029957,0.02211044042029957
ENS_BPR__CTR_l_synth_aspect_rrf_k90,0.025677505579284676,0.046853972942742406,0.046853972942742406,0.017695869859631206,0.025321003723656903,0.025252358220727536,0.018075117370892017,0.02211044042029957,0.02211044042029957
ENS_BPR__CTR_s_synth_dense_wBorda_0.1_0.9,0.03222627007838275,0.046843603709800896,0.046843603709800896,0.026495220848385726,0.031039096334621173,0.031024154389335475,0.030242566510172143,0.03319500335345406,0.03319500335345406
ENS_BPR__CTR_l_synth_dense_wBorda_0.1_0.9,0.03202599434993801,0.04682759635965715,0.04682759635965715,0.026663046847367766,0.03147506995804819,0.03143696310579397,0.031161971830985916,0.034181943512929434,0.034181943512929434
ENS_BPR__CTR_m_synth_aspect_rrf_k120,0.028771704299873312,0.04672356084049931,0.04672356084049931,0.018280313225601422,0.024815447752409067,0.024755545589365956,0.01699921752738654,0.020546426708398537,0.020546426708398537
ENS_BPR__CTR_m_synth_aspect_rrf_k60,0.028771704299873312,0.04672356084049931,0.04672356084049931,0.018054524139303366,0.02458965866611101,0.0245297565030679,0.016607981220657275,0.020155190401669278,0.020155190401669278
ENS_BPR__CTR_m_synth_aspect_rrf_k90,0.028771704299873312,0.04672356084049931,0.04672356084049931,0.018126639805916615,0.024661774332724255,0.024601872169681144,0.01680359937402191,0.020350808555033906,0.020350808555033906
ENS_BPR__CTR_m_synth_aspect_rrf_k30,0.02833156345480289,0.04672356084049931,0.04672356084049931,0.018627365088102057,0.025440058475123716,0.025380156312080605,0.017683881064162753,0.021497969297265076,0.021497969297265076
ENS_BPR__CTR_meta_human_rrf_k10,0.030981723675385642,0.04669015555320226,0.04669015555320226,0.021865365125051515,0.02733433887104327,0.027308438670697537,0.023532863849765256,0.026567739771965124,0.026567739771965124
CTR_all_reviews_text,0.030406513152992025,0.04666149252416858,0.1208286245026423,0.024725908759950194,0.02974089547459703,0.04774803510167657,0.028834115805946792,0.03194351292942842,0.036754526532306764
ENS_BPR__CTR_meta_only_wBorda_0.1_0.9,0.03263270478800501,0.04661427942098809,0.04661427942098809,0.02762927150198135,0.03170391097907494,0.03156677443480286,0.03204225352112676,0.03469520828675758,0.03469520828675758
CTR_meta_only,0.03263270478800501,0.04651647034430578,0.12232273893226452,0.02762927150198135,0.03166197432752975,0.04986321215894957,0.03204225352112676,0.034615097995379686,0.039339352522903284
ENS_BPR__CTR_meta_human_borda,0.026972777209063346,0.046368782872674645,0.046368782872674645,0.018979065314516045,0.025194104736711125,0.025160820461535872,0.021830985915492956,0.02479273790893509,0.02479273790893509
ENS_BPR__CTR_meta_human_wBorda_0.5_0.5,0.026972777209063346,0.046368782872674645,0.046368782872674645,0.018979065314516045,0.025194104736711125,0.025160820461535872,0.021830985915492956,0.02479273790893509,0.02479273790893509
CTR_l_synth_aspect,0.030735208700368076,0.046250988564739484,0.12168935106296115,0.025522348184950715,0.030273176779490218,0.048252674172980056,0.028638497652582157,0.031821950219837546,0.036407746765763284
ENS_BPR__CTR_s_synth_dense_wBorda_0.3_0.7,0.03461141427690723,0.046085644649395574,0.046085644649395574,0.02677510236059115,0.030183234862948,0.030142392717316568,0.0301056338028169,0.0325336276920784,0.0325336276920784
ENS_BPR__CTR_s_synth_aspect_wBorda_0.1_0.9,0.03091405958344431,0.04590167043373123,0.04590167043373123,0.02597998056196629,0.030482224525642154,0.030381243977164754,0.02981220657276995,0.03275858856844772,0.03275858856844772
CTR_m_synth_aspect,0.03204864487295918,0.045596599265984,0.11307642951453181,0.027331025248061143,0.03141163065270361,0.04767306483035212,0.032511737089201874,0.03488104553245398,0.0389191656224462
CTR_l_synth_dense,0.03202599434993801,0.044952922389912754,0.10563079210688552,0.026663046847367766,0.030950410856179052,0.04594925940517556,0.031161971830985916,0.034053394440718386,0.037831007450828326
ENS_BPR__CTR_l_synth_aspect_wBorda_0.1_0.9,0.030735208700368076,0.04489796300396746,0.04489796300396746,0.025522348184950715,0.029902520133775166,0.02979586346975417,0.028638497652582157,0.031727401445711303,0.031727401445711303
ENS_BPR__CTR_meta_human_wBorda_0.3_0.7,0.036938762202846705,0.04487141482601083,0.04487141482601083,0.028956426611401066,0.031023645717937275,0.03099406132512054,0.034722222222222224,0.03616094716446829,0.03616094716446829
ENS_BPR__CTR_meta_human_wBorda_0.1_0.9,0.03679670616290335,0.04456185767805486,0.04456185767805486,0.029553570777720015,0.03162612749872753,0.03162080507042739,0.03513302034428795,0.03671286981146136,0.03671286981146136
